idVenda;SKPerfume;data;idFuncionario;idCliente;precoVenda;quantidade;custoTotal;fonte
30;6;2015/01/15 00:00:00.000;2;5;60,8;4;243,3;1
32;4;2015/01/15 00:00:00.000;3;9;59,7;2;73,9;1
34;7;2015/03/01 00:00:00.000;1;8;32,6;2;65,3;1
36;8;2015/05/11 00:00:00.000;4;2;32,6;3;42,5;1
38;2;2015/05/28 00:00:00.000;2;6;42;1;166,3;1
40;10;2015/05/28 00:00:00.000;2;2;55,4;1;166,3;1
42;9;2016/03/09 00:00:00.000;2;4;38,1;2;38,3;1
44;1;2016/06/09 00:00:00.000;2;3;46,5;3;127,6;1
46;3;2016/08/26 00:00:00.000;1;1;24,6;1;47,5;1
48;5;2016/11/12 00:00:00.000;3;7;32,6;3;166,3;1
